,MONTH,TYPE,RESPONSE_RATE,IB_SUB_RATE,SS_SUB_RATE,PRELIM_RATE
0,5,DMA,0.67,69.11409404,65.78251881,39.30027173913043
1,5,DMR,2.97,70.39746403,60.53811659,28.0
2,5,DMO,4.95,84.69456927,78.85322119,38.0
3,5,DMC,0.57,,,
4,6,DMA,0.72,69.24807318,65.91003961,46.14197530864197
5,6,DMR,2.39,68.94714694,59.29092017,25.0
6,6,DMO,3.35,78.64495718,73.22084825,25.0
7,6,DMC,0.66,75.0,75.0,82.0
8,7,DMA,0.48,67.25683873,64.01479062,50.16286645
9,7,DMR,2.37,69.96107557,60.16284547,38.0
10,7,DMO,4.5,85.70283796,79.79195001,36.0
11,7,DMC,0.6,65.0,65.0,84.0
12,8,DMA,0.52,67.50727924,62.45409709,49.67
13,8,DMR,2.3,70.05425155,62.42403315,25.0
14,8,DMO,4.0,87.80953143,81.54864829,37.0
15,8,DMC,0.68,65.0,65.0,84.0
16,9,DMA,0.8,60.44609256970197,69.13587010991213,40.81
17,9,DMR,2.6,68.50370723,70.21215394072112,30.0
18,9,DMO,4.0,89.39500850822462,86.68961614,47.0
19,9,DMC,0.68,65.0,65.0,84.0
